Question,Answer,,,,,,
"What are Prism, back-office, and Shoonya?","Prism - Our in-house custom client portal - PRISM, allows clients to view and analyze their investments under a single login. You can raise a ticket for any query, request, complaint, modification, or suggestion. Your query will be resolved within 24 hours.

Here is the link to Prism - https://prism.shoonya.com/

Back office - You can check and view all important reports like contract notes, financial ledger, holdings, balance, Profit & Loss Statement, Other Important Reports, and Profile Information.

Here is the link for the Back office https://reports.shoonya.com/

Shoonya - Shoonya aims to simplify investing by offering intuitive tools that improve your trading. With multiple charts on a single screen, a wide range of technical analysis tools, historical data, and seamless account management, it offers everything you seek. It is available on the web, mobile, and desktop. For more details, please find the below link: https://shoonya.com/shoonya-trading-platform",,,,,,
How much time does it take to change my primary bank account?,"You can raise a bank change ticket in PRISM, it will resolve within 24 hours.",,,,,,
How to activate an additional segment?,"Please find below the process to activate an additional segment:

1. log in to your prism portal: https://prism.shoonya.com/

2. Click on ""Services"" on the left-hand menu.

3. Click on “Activate Additional Segment”.

4. Select the additional segment you want to activate & proceed.

5. Upload the required documents & Submit.

6. Enter the OTP & Submit.

7. Support team will check and verify your ticket within 24 hours. You will get an email notification for the same.

8. E-sign the ticket using your Aadhaar number.

9. After completing the E-sign process, additional segments will be activated within 24 working hours, and you will get a confirmation in your email.

Kindly find below the YouTube video of ""How to activate an additional segment"": - 

https://www.youtube.com/watch?v=X-O0MVVLaCk",,,,,,
How to check realized profit and loss or tax report in prism?,"Please find below the steps to get a Tax report in PRISM:

1. log in to PRISM:

https://prism.shoonya.com/

2. Go to the ""Manage Account"" option from the left side and click on Tax Report.

3. Select Segment, year, and Quarter and Submit.

You can also download your Tax report in Excel.

Please find below the Youtube video link : 

https://www.youtube.com/watch?v=eV8DRfLtEn0",,,,,,
How many bank accounts can be added to one demat account?,You can add only 1 bank account to your Demat account. You can change your bank in Demat account but can not add more than 1 bank account.,,,,,,
How can I update the same mobile number and email id in different client codes?,"As per the Finvasia policy, you can not update the same mobile or email id in different client codes. Users can keep a single email & mobile number in a single Finvasia account.",,,,,,
How do I e-sign on the ticket in PRISM?,"There are some tickets (Reactivation, bank change, additional segment, an additional exchange, open demat account, add a nomination, and account closure) that you need to authenticate by doing your Aadhaar e-sign.

Please find below steps to do an e-sign on your open ticket:

1. log in to your PRISM.

2. View your open ticket which you want to e sign.

3. Enter your Aadhaar number and request OTP.

4. Enter the OTP and submit.

You can also view your e-signed document.",,,,,,
How to add a nominee in demat and trading account online?,"Please find below the nomination process: 

1. Log in to your prism portal: https://prism.shoonya.com/

2. Click on the 'Services' icon from the left bar.

3. Select the reason - Add Nominee.

4. Please fill-up the form and submit it.

5. Support team will check and verify your ticket within 24 hours. You will get an email notification for the same. 

6. E-sign the ticket using your Aadhaar number.

7. Your nomination will be added within 24 hours.",,,,,,
How to enable an additional exchange?,"Please find below the process to enable an additional exchange:

1. log in to your prism portal: https://prism.shoonya.com/

2. Click on""Services"" on the left-hand menu.

3. Click on “Enable Exchange”.

4. Select the exchanges in which you want to activate your account & proceed.

5. Upload the required documents & Submit.

6. Enter the OTP & Submit.

7. Support team will check and verify your ticket within 24 hours. You will get an email notification for the same.

8. E-sign the ticket using your Aadhaar number.

After completing the E-sign process, additional exchanges will be activated within 24 working hours, and you will get a confirmation in your email.",,,,,,
What is Client Master Report (CMR) and where can I get it?,"A Client Master Report (CMR) is a PDF certificate issued by a broker to a client with the details of their demat account such as demat ID, date of birth, bank details, nomination details, etc. You will get a copy of the CMR after the account opening. You can also get it by raising a PRISM ticket.",,,,,,
What is the procedure to change the address for a non-individual account?,"Please find below the steps to change the address in your non-individual accounts (like HUF, Partnership, LLP, private limited, and limited company accounts): -

1. Log in to your prism portal: https://prism.finvasia.com/

2. Click on the 'Services' icon from the left bar.

3. Click on “Change address“.

4. Enter the New address and Proceed.

5. Upload the required documents and Submit.

6. Support team will check and verify your ticket within 24 hours. You will get an email notification for the same.

7. After verification, you need to download the given forms. You need to take the printout, fill it up, sign it, stamp it and send it along with the required documents at below address:

Finvasia Center, Plot no. D-179, Industrial Area, Sector 74, Sahibzada Ajit Singh Nagar, Punjab 160055",,,,,,
Which banks can NRIs link with their Shoonya account?,"For investing in the equity and derivatives segment on a non-repatriable basis, NRIs can link any NRO bank account with us. ",,,,,,
What is a PIS Letter and how do I get this PIS Letter?,PIS (portfolio investment scheme) enables NRIs to buy and sell shares of an Indian company on a recognized stock exchange by routing the transactions through their NRE account with a designated bank branch. You can submit the PIS application in the prescribed format for designating a savings account as PIS on a repatriation/non-repatriation basis with designated bank.,,,,,,
Which segments or products are NRIs prohibited to trade in ?,"Banned products for NRIs/PIOs/OCI are:

1. NRIs cannot trade intraday in the equity segment.

2. NRIs cannot hold more than 10% of the total holdings in an Indian listed company 

3. An NRI cannot hold more than 1 PIS account each for repatriable and non-repatriable shares 

4. NRIs cannot trade in Currency and commodities segments.

5. NRIs cannot trade in certain scripts prescribed in the RBI guideline.",,,,,,
"Which documents are required to begin NRI derivative trading?
","Non-resident Indians (NRIs) can trade in the F&O segment in NSE/BSE through an NRO non-PIS account. 

Requirements for F&O trading for NRIs are: 

1. Status should be of an NRI. Reside outside India for more than 182 days, hold Indian citizenship or be a Person of Indian origin 

2. You must have a PAN card 

3. You need to have an NRO (Non -resident ordinary) bank account 

4. Proof of address (Indian & overseas) 

5. CP (clearing participant) is mandatory for derivative trading through a clearing member. Shoonya by Finvasia is a clearing member of NSE.
6. One income proof -

Documents accepted as income proof are:

A) 6 months' bank statement

B) 3 months' salary slips

C) Latest ITR (Income Tax Return)

D) DEMAT holding statement

E) Net worth certificate
F) Copy of Form 16

",,,,,,
What are the products offered to NRIs ?,"Being an NRI you can invest in: 

1. Equity segment in NSE & BSE (delivery based) 

2. Trade-in F&O segment 

3. Direct Mutual funds 

4. Bonds",,,,,,
